state_body,state_body_total,program_code,program_code_ext,program_name,program_goal,program_result_desc,program_total,subprogram_code,subprogram_name,subprogram_desc,subprogram_type,subprogram_total
ՀՀ վարչապետի աշխատակազմ,25907043.5,1033,1033,Աջակցություն հասարակական և այլ կազմակերպություններին,Քաղաքացիական հասարակության զարգացում,Հասարակության կայուն զարգացման գործընթացներում քաղաքացիական հասարակության կառույցների ընդգրկվածություն և մասնակցություն,78813.0,12001,Պետական աջակցություն ազգային փոքրամասնությունների հասարակական կազմակերպություններին,Պետական աջակցություն ազգային փոքրամասնությունների հասարակական կազմակերպություններին,Տրանսֆերտների տրամադրում,25000.0
ՀՀ վարչապետի աշխատակազմ,25907043.5,1091,1091,Հանրային իրազեկում,"Հանրային կապերի, պետական մարմինների թափանցիկության, տեղեկատվության մատչելիության ապահովում","Հանրության իրազեկվածության մակարդակի բարելավում, ՀՀ համար կարևոր նշանակություն ունեցող իրադարձությունների լուսաբանում",1346463.4,11001,Հանրային իրազեկում և հասարակական-քաղաքագիտական հետազոտություններ,"Կառավարության գործունեության լուսաբանում, թեմատիկ վերլուծություններ և ԶԼՄ-ների ամենօրյա մշտադիտարկում",Ծառայությունների մատուցում,785487.6
ՀՀ վարչապետի աշխատակազմ,25907043.5,1091,1091,Հանրային իրազեկում,"Հանրային կապերի, պետական մարմինների թափանցիկության, տեղեկատվության մատչելիության ապահովում","Հանրության իրազեկվածության մակարդակի բարելավում, ՀՀ համար կարևոր նշանակություն ունեցող իրադարձությունների լուսաբանում",1346463.4,11004,"Տեղեկատվության ձեռքբերման, պահպանման և արխիվացման ծառայություններ","Տեղեկատվության ձեռքբերման, պահպանման և արխիվացման ծառայություններ",Ծառայությունների մատուցում,179332.4
ՀՀ վարչապետի աշխատակազմ,25907043.5,1091,1091,Հանրային իրազեկում,"Հանրային կապերի, պետական մարմինների թափանցիկության, տեղեկատվության մատչելիության ապահովում","Հանրության իրազեկվածության մակարդակի բարելավում, ՀՀ համար կարևոր նշանակություն ունեցող իրադարձությունների լուսաբանում",1346463.4,11011,ՀՀ վերաբերյալ պաշտոնական տեղեկատվության   ապահովում  նաև միջազգային հարթակներում,"Հանրության իրազեկվածության մակարդակի բարելավում, ՀՀ վերաբերյալ օբյեկտիվ տեղեկատվության ավելի լայն լսարանի ներգրավում",Ծառայությունների մատուցում,98998.8
ՀՀ վարչապետի աշխատակազմ,25907043.5,1091,1091,Հանրային իրազեկում,"Հանրային կապերի, պետական մարմինների թափանցիկության, տեղեկատվության մատչելիության ապահովում","Հանրության իրազեկվածության մակարդակի բարելավում, ՀՀ համար կարևոր նշանակություն ունեցող իրադարձությունների լուսաբանում",1346463.4,12001,«Միր» միջպետական հեռուստառադիոընկերության ՀՀ մասնաբաժնի վճար,ԱՊՀ երկրներում հեռուստառադիոծրագրերի հեռարձակում,Տրանսֆերտների տրամադրում,282644.6
ՀՀ վարչապետի աշխատակազմ,25907043.5,1132,1132,Քաղաքացիական ծառայողների վերապատրաստում,Քաղաքացիական ծառայողների աշխատանքի  արդյունավետության բարելավում,"Քաղաքացիական ծառայության ոլորտում անկախ, արհեստավարժ և բարոյական բարձր հատկանիշներով օժտված կադրերի ապահովումը",12152.0,11001,ՀՀ քաղաքացիական ծառայողների վերապատրաստման ծառայություններ,Քաղաքացիական ծառայողների մասնագիտական գիտելիքների և աշխատանքային ունակությունների հետևողական վերապատրաստման և ուսուցման ծառայություններ,Ծառայությունների մատուցում,12152.0
ՀՀ վարչապետի աշխատակազմ,25907043.5,1136,1136,ՀՀ Վարչապետի լիազորությունների իրականացման ապահովում,"Աջակցել կառավարության, վարչապետի և փոխվարչապետերի գործունեությանը",ՀՀ կառավարության և վարչապետի որոշումների ու հանձնարարականների կատարման վերահսկողության ապահովում,7840971.5,11001,"Ծառայությունների, ծրագրերի համակարգում","Աջակցություն ՀՀ կառավարությանը` քաղաքականության և ծրագրերի մշակման և իրականացման գործընթացում, վերահսկողության կատարման գործընթացում",Ծառայությունների մատուցում,5460125.4
ՀՀ վարչապետի աշխատակազմ,25907043.5,1136,1136,ՀՀ Վարչապետի լիազորությունների իրականացման ապահովում,"Աջակցել կառավարության, վարչապետի և փոխվարչապետերի գործունեությանը",ՀՀ կառավարության և վարչապետի որոշումների ու հանձնարարականների կատարման վերահսկողության ապահովում,7840971.5,11004,Աջակցություն ՀՀ վարչապետի աշխատակազմի ներքո գործող Արդյունահանող ճյուղերի թափանցիկության նախաձեռնության քարտուղարությանը,"Ազգային ծրագրով նախատեսված տեխնիկական առաջադրանքների նախագծերի հաստատման ենթակա փաստաթղթերի կազմում, հանրային իրազեկման միջոցառումների իրականացում և դոնոր կազմակերպությունների հետ աշխատանքի համակարգում",Ծառայությունների մատուցում,18812.5
ՀՀ վարչապետի աշխատակազմ,25907043.5,1136,1136,ՀՀ Վարչապետի լիազորությունների իրականացման ապահովում,"Աջակցել կառավարության, վարչապետի և փոխվարչապետերի գործունեությանը",ՀՀ կառավարության և վարչապետի որոշումների ու հանձնարարականների կատարման վերահսկողության ապահովում,7840971.5,11005,Սպասարկման ծառայություններ,ՀՀ Կառավարական շենքերի և այլ գույքի սպասարկում,Ծառայությունների մատուցում,487897.5
ՀՀ վարչապետի աշխատակազմ,25907043.5,1136,1136,ՀՀ Վարչապետի լիազորությունների իրականացման ապահովում,"Աջակցել կառավարության, վարչապետի և փոխվարչապետերի գործունեությանը",ՀՀ կառավարության և վարչապետի որոշումների ու հանձնարարականների կատարման վերահսկողության ապահովում,7840971.5,11010,ՀՀ բարձրաստիճան պաշտոնատար անձանց գերատեսչական առանձնատների և տարածքների շահագործում և սպասարկում,ՀՀ բարձրաստիճան պաշտոնատար անձանց գերատեսչական առանձնատների և տարածքների  շահագործման և սպասարկման ծառայություններ,Ծառայությունների մատուցում,621340.1
ՀՀ վարչապետի աշխատակազմ,25907043.5,1136,1136,ՀՀ Վարչապետի լիազորությունների իրականացման ապահովում,"Աջակցել կառավարության, վարչապետի և փոխվարչապետերի գործունեությանը",ՀՀ կառավարության և վարչապետի որոշումների ու հանձնարարականների կատարման վերահսկողության ապահովում,7840971.5,11023,Եվրոպական քաղաքական համայնքի 8-րդ գագաթնաժողովի Երևանում անցկացում,Եվրոպական քաղաքական համայնքի 8-րդ գագաթնաժողովի 2026 թվականին Երևանում  կազմակերպման և անցկացման ապահովում,Ծառայությունների մատուցում,1000000.0
ՀՀ վարչապետի աշխատակազմ,25907043.5,1136,1136,ՀՀ Վարչապետի լիազորությունների իրականացման ապահովում,"Աջակցել կառավարության, վարչապետի և փոխվարչապետերի գործունեությանը",ՀՀ կառավարության և վարչապետի որոշումների ու հանձնարարականների կատարման վերահսկողության ապահովում,7840971.5,11024,Ֆրանկոֆոնիայի 2027 թվականի խաղերի ազգային կոմիտեի աշխատանքների համակարգում,Ֆրանկոֆոնիայի 2027 թվականի խաղերի ազգային կոմիտեի աշխատանքների համակարգման ապահովում,Ծառայությունների մատուցում,130000.0
ՀՀ վարչապետի աշխատակազմ,25907043.5,1136,1136,ՀՀ Վարչապետի լիազորությունների իրականացման ապահովում,"Աջակցել կառավարության, վարչապետի և փոխվարչապետերի գործունեությանը",ՀՀ կառավարության և վարչապետի որոշումների ու հանձնարարականների կատարման վերահսկողության ապահովում,7840971.5,31001,Մաքսային միությանը և Միասնական տնտեսական տարածությանը ՀՀ անդամակցության շրջանակում միասնական տեղեկատվական տարածության և ինտեգրացված տեղեկատվական համակարգերի ստեղծում և պահպանում,Մաքսային միությանը և Միասնական տնտեսական տարածությանը ՀՀ անդամակցության շրջանակում միասնական տեղեկատվական տարածության և ինտեգրացված տեղեկատվական համակարգերի ստեղծում և պահպանում,Պետական մարմինների կողմից օգտագործվող ոչ ֆինանսական ակտիվների հետ գործառնություններ,122796.0
ՀՀ վարչապետի աշխատակազմ,25907043.5,1156,1156,Հայաստան-Սփյուռք գործակցության ծրագիր,Նպաստել Հայաստանի և հայկական սփյուռքի միջև կապերի ամրապնդմանը և զարգացմանը,"Հայաստանի և Սփյուռքի միջև կրթական, մշակութային և երիտասարդական հաղորդակցության, ճանաչողության և տեղեկացվածության մակարդակի բարձրացում",468597.2,11007,Քայլ դեպի տուն,"Սփյուռքի հայ երիտասարդության և պատանիների ուսումնաճանաչողական այցելությունների, հայերենի ուսուցման դասընթացների կազմակերպում և հայրենիքի մասին գիտելիքների փոխանցում",Ծառայությունների մատուցում,127472.2
ՀՀ վարչապետի աշխատակազմ,25907043.5,1156,1156,Հայաստան-Սփյուռք գործակցության ծրագիր,Նպաստել Հայաստանի և հայկական սփյուռքի միջև կապերի ամրապնդմանը և զարգացմանը,"Հայաստանի և Սփյուռքի միջև կրթական, մշակութային և երիտասարդական հաղորդակցության, ճանաչողության և տեղեկացվածության մակարդակի բարձրացում",468597.2,11008,Սփյուռքի երիտասարդ առաջնորդների վերապատրաստում,"Հայաստանյան իրականության վերաբերյալ իրազեկվածության մակարդակի բարձրացում, համայնքային գործունեության ակտիվացմանը նպաստող նոր հմտությունների ձեռքբերում, Սփյուռքի երիտասարդ առաջնորդների ցանցի ընդլայնում",Ծառայությունների մատուցում,26603.1
ՀՀ վարչապետի աշխատակազմ,25907043.5,1156,1156,Հայաստան-Սփյուռք գործակցության ծրագիր,Նպաստել Հայաստանի և հայկական սփյուռքի միջև կապերի ամրապնդմանը և զարգացմանը,"Հայաստանի և Սփյուռքի միջև կրթական, մշակութային և երիտասարդական հաղորդակցության, ճանաչողության և տեղեկացվածության մակարդակի բարձրացում",468597.2,11010,Հայաստան-Սփյուռք գործակցության վերաբերյալ իրազեկման ապահովում,"Հայաստան-Սփյուռք համագործակցության, հայրենադարձության, Սփյուռքից ներդրումների, Հայաստան-Սփյուռք գործակցության ծրագրերի ներկայացման ուղղություններով հեռուստահաղորդումների, տեսանյութերի պատվիրում և Սփյուռքում արբանյակային հեռարձակում",Ծառայությունների մատուցում,48000.0
ՀՀ վարչապետի աշխատակազմ,25907043.5,1156,1156,Հայաստան-Սփյուռք գործակցության ծրագիր,Նպաստել Հայաստանի և հայկական սփյուռքի միջև կապերի ամրապնդմանը և զարգացմանը,"Հայաստանի և Սփյուռքի միջև կրթական, մշակութային և երիտասարդական հաղորդակցության, ճանաչողության և տեղեկացվածության մակարդակի բարձրացում",468597.2,11011,Աշխատանք Սփյուռքի համայնքներում,"Աշխատանքային այցելություններ Սփյուռքի համայնքներ՛ մոտիկից ծանոթանալու համայնքների խնդիրներին, դրանց լուծման ուղիների  քննարկում և մշակում, տեղերում մասնակցելու կազմակերպված մշակութային, համայնքային և այլ միջոցառումներին",Ծառայությունների մատուցում,35000.0
ՀՀ վարչապետի աշխատակազմ,25907043.5,1156,1156,Հայաստան-Սփյուռք գործակցության ծրագիր,Նպաստել Հայաստանի և հայկական սփյուռքի միջև կապերի ամրապնդմանը և զարգացմանը,"Հայաստանի և Սփյուռքի միջև կրթական, մշակութային և երիտասարդական հաղորդակցության, ճանաչողության և տեղեկացվածության մակարդակի բարձրացում",468597.2,11012,«ի Գործ» սփյուռքահայ մասնագետների ներգրավում ՀՀ պետական   կառավարման համակարգում,Սփյուռքի մասնագիտական ներուժի ներգրավում ՀՀ պետական կառավարման համակարգում,Ծառայությունների մատուցում,187758.8
ՀՀ վարչապետի աշխատակազմ,25907043.5,1156,1156,Հայաստան-Սփյուռք գործակցության ծրագիր,Նպաստել Հայաստանի և հայկական սփյուռքի միջև կապերի ամրապնդմանը և զարգացմանը,"Հայաստանի և Սփյուռքի միջև կրթական, մշակութային և երիտասարդական հաղորդակցության, ճանաչողության և տեղեկացվածության մակարդակի բարձրացում",468597.2,11013,Հայրենադարձության և ինտեգրման կենտրոն,"Հայրենադարձության և  ինտեգրման կենտրոնը  համապարփակ հարթակ է, որն իրականացնում է սփյուռքից հայրենադարձների համալիր աջակցության գործընթաց ու ծառայությունների մատուցում",Ծառայությունների մատուցում,27263.1
ՀՀ վարչապետի աշխատակազմ,25907043.5,1156,1156,Հայաստան-Սփյուռք գործակցության ծրագիր,Նպաստել Հայաստանի և հայկական սփյուռքի միջև կապերի ամրապնդմանը և զարգացմանը,"Հայաստանի և Սփյուռքի միջև կրթական, մշակութային և երիտասարդական հաղորդակցության, ճանաչողության և տեղեկացվածության մակարդակի բարձրացում",468597.2,12001,Աջակցություն սփյուռքի հայալեզու լրատվամիջոցներին,"Հայկական լրատվամիջոցների,գործող կայք էջերի և հեռուստաալիքների միջոցով հայ ազգաբնակչության շրջանում` տարածաշրջանի քաղաքական,սոցիալական,ազգային և մշակութային կյանքի վերաբերյալ տեղեկատվության տարածում",Տրանսֆերտների տրամադրում,16500.0
ՀՀ վարչապետի աշխատակազմ,25907043.5,1213,1213,Տեսչական վերահսկողության ծրագիր,Տեսչական վերահսկողության ապահովում,Տեխնիկական կանոնակարգերին համապատասխանության գնահատում և պահանջների պահպանում,7108102.2,11001,Առողջապահության ոլորտում վերահսկողության ծառայություններ,"Առողջապահության, աշխատողների առողջության և անվտանգության ապահովման բնագավառում վերահսկողության իրականացում",Ծառայությունների մատուցում,1494176.6
ՀՀ վարչապետի աշխատակազմ,25907043.5,1213,1213,Տեսչական վերահսկողության ծրագիր,Տեսչական վերահսկողության ապահովում,Տեխնիկական կանոնակարգերին համապատասխանության գնահատում և պահանջների պահպանում,7108102.2,11002,Բնապահպանության ոլորտում վերահսկողության ծառայություններ,Շրջակա միջավայրի վրա վնասակար ներգործությունների և բնական ռեսուրսների գերշահագործման վերահսկողության իրականացում,Ծառայությունների մատուցում,1149764.8
ՀՀ վարչապետի աշխատակազմ,25907043.5,1213,1213,Տեսչական վերահսկողության ծրագիր,Տեսչական վերահսկողության ապահովում,Տեխնիկական կանոնակարգերին համապատասխանության գնահատում և պահանջների պահպանում,7108102.2,11003,Կրթության ոլորտում վերահսկողության ծառայություններ,Կրթության ոլորտում տեսչական վերահսկողության ծառայությունների իրականացում,Ծառայությունների մատուցում,317833.2
ՀՀ վարչապետի աշխատակազմ,25907043.5,1213,1213,Տեսչական վերահսկողության ծրագիր,Տեսչական վերահսկողության ապահովում,Տեխնիկական կանոնակարգերին համապատասխանության գնահատում և պահանջների պահպանում,7108102.2,11004,Շուկայի վերահսկողության ծառայություններ,Տեխնիկական կանոնակարգի պահանջների և չափագիտական կանոնների ու նորմերի պահպանման վերահսկողություն,Ծառայությունների մատուցում,378913.7
ՀՀ վարչապետի աշխատակազմ,25907043.5,1213,1213,Տեսչական վերահսկողության ծրագիր,Տեսչական վերահսկողության ապահովում,Տեխնիկական կանոնակարգերին համապատասխանության գնահատում և պահանջների պահպանում,7108102.2,11005,Արտադրանքի և որակի վերահսկողության ծառայություններ,Արտադրանքի և ծառայությունների մատուցման ոլորտում տեխնիկական կանոնակարգերի պահանջների և չափագիտական կանոնների ու նորմերի վերահսկողության իրականացում,Ծառայությունների մատուցում,23201.5
ՀՀ վարչապետի աշխատակազմ,25907043.5,1213,1213,Տեսչական վերահսկողության ծրագիր,Տեսչական վերահսկողության ապահովում,Տեխնիկական կանոնակարգերին համապատասխանության գնահատում և պահանջների պահպանում,7108102.2,11006,Քաղաքաշինության և ճարտարապետության բնագավառում վերահսկողության ծառայություններ,"Քաղաքաշինության, տեխնիկական և հրդեհային անվտանգության, տրանսպորտի, էներգետիկայի, պետական և տեղական նշանակության գեոդեզիական և քարտեզագրական աշխատանքների և հողօգտագործման բնագավառներում վերահսկողության իրականացում",Ծառայությունների մատուցում,1320436.3
ՀՀ վարչապետի աշխատակազմ,25907043.5,1213,1213,Տեսչական վերահսկողության ծրագիր,Տեսչական վերահսկողության ապահովում,Տեխնիկական կանոնակարգերին համապատասխանության գնահատում և պահանջների պահպանում,7108102.2,11007,Սննդամթերքի անվտանգության բնագավառում վերահսկողության իրականացման ծառայություններ,"Սննդամթերքի, անասնաբուժության և բուսասանիտարիայի ոլորտներում վերահսկողության իրականացում, պետությանը և հանրությանը սպառնացող վտանգների հայտնաբերում, ներթափանցման և տարածման կանխարգելում:",Ծառայությունների մատուցում,1764860.0
ՀՀ վարչապետի աշխատակազմ,25907043.5,1213,1213,Տեսչական վերահսկողության ծրագիր,Տեսչական վերահսկողության ապահովում,Տեխնիկական կանոնակարգերին համապատասխանության գնահատում և պահանջների պահպանում,7108102.2,11015,Առողջապահական և աշխատանքի տեսչական վերահսկողության շրջանակներում լաբորատոր փորձաքննության ապահովում,Առողջապահական և աշխատանքի տեսչական վերահսկողության շրջանակներում լաբորատոր փորձաքննության իրականացում,Ծառայությունների մատուցում,49000.0
ՀՀ վարչապետի աշխատակազմ,25907043.5,1213,1213,Տեսչական վերահսկողության ծրագիր,Տեսչական վերահսկողության ապահովում,Տեխնիկական կանոնակարգերին համապատասխանության գնահատում և պահանջների պահպանում,7108102.2,11016,Ոչ սպանդանոցային մորթի հետևանքով ստացված կենդանական  ծագման հումքի տեղափոխման և ոչնչացման ծառայություններ,Ոչ սպանդանոցային մորթի հետևանքով ստացված վտանգավոր  ճանաչված կենդանական ծագման հումքի տեղափոխում և ոչնչացում,Ծառայությունների մատուցում,46000.0
ՀՀ վարչապետի աշխատակազմ,25907043.5,1213,1213,Տեսչական վերահսկողության ծրագիր,Տեսչական վերահսկողության ապահովում,Տեխնիկական կանոնակարգերին համապատասխանության գնահատում և պահանջների պահպանում,7108102.2,11017,Սահմանային պետական վերահսկողության շրջանակներում ներմուծվող սննդամթերքի պահեստային նմուշը այլ պետության ռեֆերենս փորձարկման լաբորատորիա ուղարկելու ծառայություններ,Ներմուծվող սննդամթերքի փորձաքննություն իրականացնող գնահատող մարմնի փորձաքննությունների հավաստիության ստուգում պահեստային նմուշը այլ պետության ռեֆերենս փորձարկման լաբորատորիա ուղարկելու և փորձաքննություն իրականացնելու եղանակով,Ծառայությունների մատուցում,10000.0
ՀՀ վարչապետի աշխատակազմ,25907043.5,1213,1213,Տեսչական վերահսկողության ծրագիր,Տեսչական վերահսկողության ապահովում,Տեխնիկական կանոնակարգերին համապատասխանության գնահատում և պահանջների պահպանում,7108102.2,11021,Սննդամթերքի անվտանգության ոլորտում տեսչական վերահսկողության շրջանակներում  լաբորատոր փորձարկումներ,"Վաճառվող սննդամթերքի, գյուղատնտ. կենդ. արյան նմուշի հետպատվաստ. վարակամերժ արդյունավետ. աստիճանի որոշում, բուս.սան. նկատ-բ վերահսկ., թունաքի-ի բացաս. ազդ-ն վերահսկում, ձկան և մեղրի մեջ մնացորդային նjութերի բացահայտում, մանր եղջ. կենդ-ի շճահետազոտություն",Ծառայությունների մատուցում,553916.1
ՀՀ վարչապետի աշխատակազմ,25907043.5,1221,1221,Տոների և հիշատակի օրերի ծրագիր,Տոների և հիշատակի օրերին նվիրված միջոցառումների անցկացում ի նպաստ Ազգային ինքնության պահպանման,Հայի պատմական անցյալի արժեվորում ու պահպանում,202473.6,11002,Քաղաքացու օրվան նվիրված միջոցառումներ,Քաղաքացու օրվան նվիրված միջոցառումների կազմակերպում և իրականացում,Ծառայությունների մատուցում,27600.0
ՀՀ վարչապետի աշխատակազմ,25907043.5,1221,1221,Տոների և հիշատակի օրերի ծրագիր,Տոների և հիշատակի օրերին նվիրված միջոցառումների անցկացում ի նպաստ Ազգային ինքնության պահպանման,Հայի պատմական անցյալի արժեվորում ու պահպանում,202473.6,11003,"«Մեր ժամանակների հերոսը» միջոցառում, մրցանակաբաշխություն","ՀՀ անկախության հռչակման տարեդարձի կապակցությումբ կազմակերպված միջոցառում, մրցանակաբաշխություն",Ծառայությունների մատուցում,174873.6
ՀՀ վարչապետի աշխատակազմ,25907043.5,1222,1222,ՀՀ զարգացման գործընթացներում Սփյուռքի ներուժի ներգրավում,"Սփյուռք ներուժի բացահայտում, տեղեկատվական համակարգերի ստեղծում,   ՀՀ զարգացման գործընթացներում ներգրավվածություն, Հայաստան- Սփյուռք համատեղ ծրագրերի իրականացում, ըստ ոլորտների համահայկական մասնագիտական ցանցերի ստեղծում","Սփյուռք ներուժի բացահայտում, սփյուռքի, համահայկական կառույցների և գործիչների վերաբերյալ տեղեկատվական համակարգերի ստեղծում, համահայկական համաժողովների արդյունքում նոր ծրագրերի մշակում և իրականացում",294078.0,11003,Համահայկական համաժողովների իրականացում,"Համահայկական և համայնքային կառույցների ներկայացուցիչների մասնակցությամբ համաժողովների և խորհրդաժողովների կազմակերպում՛ ի նպաստ Հայաստանի և Սփյուռքի միջև համագործակցության հաստատմանը, համահայկական ցանցերի ստեղծմանը, հայրենադարձությանը",Ծառայությունների մատուցում,294078.0
ՀՀ վարչապետի աշխատակազմ,25907043.5,1223,1223,"Միջազգային դատարաններում, միջազգային արբիտրաժներում և այլ միջազգային ատյաններում ՀՀ շահերի ներկայացում և պաշտպանություն , դրանց կողմից ընդունված վճիռների և որոշումների կատարման ապահովում","Միջազգային դատարաններում, միջազգային արբիտրաժներում և այլ միջազգային ատյաններում ՀՀ վերաբերյալ գործընթացներում մասնակցություն, դրանց կողմից ընդունված վճիռների և որոշումների կատարման ապահովում","ՀՀ շահերի ներկայացում և պաշտպանություն , ՀՀ վերաբերյալ վճռի կամ որոշման կատարման գործընթացի ապահովում",3882882.5,11001,"Հայաստանի Հանրապետության շահերի ներկայացմանն ու պաշտպանությանն ուղղված փաստաբանական, իրավաբանական ծառայություններ","Արբիտրաժային և այլ վեճերի շրջանակներում ՀՀ շահերը ներկայացնելու և պաշտպանելու համար փաստաբանական, իրավաբանական, փորձագիտական ծառայությունների, վեճը լուծող հաշտարարի ծառայությունների, ՀՀ շահերից բխող խորհրդատվական բնույթի ծառայությունների ձեռքբերում",Ծառայությունների մատուցում,3481205.0
